2010-10-03 00:00:13,907 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-10-03 00:00:13,907 | DEBUG  | Stat yezooz. garage, cars_add=1.
2010-10-03 00:00:13,917 | DEBUG  | Stat yezooz. garage, cars=16.
2010-10-03 00:00:13,917 | DEBUG  | Stat yezooz. garage, cars=16.
2010-10-03 00:00:13,928 | DEBUG  | Stat yezooz. car_manuf, Fiat=15.
2010-10-03 00:00:13,928 | DEBUG  | Stat yezooz. car_manuf, Fiat=15.
2010-10-03 00:00:13,938 | DEBUG  | Stat yezooz. car_country, Italy=15.
2010-10-03 00:00:13,938 | DEBUG  | Stat yezooz. car_country, Italy=15.
2010-10-03 00:00:13,948 | DEBUG  | Stat yezooz. car_tier, 1=34.
2010-10-03 00:00:13,948 | DEBUG  | Stat yezooz. car_tier, 1=34.
2010-10-03 00:00:13,959 | DEBUG  | Stat yezooz. car_manuf, Fiat=16.
2010-10-03 00:00:13,959 | DEBUG  | Stat yezooz. car_manuf, Fiat=16.
2010-10-03 00:00:13,969 | DEBUG  | Stat yezooz. car_country, Italy=16.
2010-10-03 00:00:13,969 | DEBUG  | Stat yezooz. car_country, Italy=16.
2010-10-03 00:00:13,979 | DEBUG  | Stat yezooz. car_tier, 1=35.
2010-10-03 00:00:13,979 | DEBUG  | Stat yezooz. car_tier, 1=35.
2010-10-03 00:00:13,992 | DEBUG  | Stat yezooz. car_year, 2000=11.
2010-10-03 00:00:13,992 | DEBUG  | Stat yezooz. car_year, 2000=11.
2010-10-03 00:01:13,457 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-03 00:01:13,457 | DEBUG  | Stat yezooz. garage, cars_add=2.
2010-10-03 00:01:13,467 | DEBUG  | Stat yezooz. garage, cars=17.
2010-10-03 00:01:13,467 | DEBUG  | Stat yezooz. garage, cars=17.
2010-10-03 00:01:13,476 | DEBUG  | Stat yezooz. car_manuf, Fiat=17.
2010-10-03 00:01:13,476 | DEBUG  | Stat yezooz. car_manuf, Fiat=17.
2010-10-03 00:01:13,491 | DEBUG  | Stat yezooz. car_country, Italy=17.
2010-10-03 00:01:13,491 | DEBUG  | Stat yezooz. car_country, Italy=17.
2010-10-03 00:01:13,502 | DEBUG  | Stat yezooz. car_tier, 1=36.
2010-10-03 00:01:13,502 | DEBUG  | Stat yezooz. car_tier, 1=36.
